"","X","company_name","year","status_label_1yr","status_label_2yr","status_label_3yr","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X17","X18","X1_1yr","X1_2yr","X1_3yr","X2_1yr","X2_2yr","X2_3yr","X3_1yr","X3_2yr","X3_3yr","X4_1yr","X4_2yr","X4_3yr","X5_1yr","X5_2yr","X5_3yr","X6_1yr","X6_2yr","X6_3yr","X7_1yr","X7_2yr","X7_3yr","X8_1yr","X8_2yr","X8_3yr","X9_1yr","X9_2yr","X9_3yr","X10_1yr","X10_2yr","X10_3yr","X11_1yr","X11_2yr","X11_3yr","X12_1yr","X12_2yr","X12_3yr","X13_1yr","X13_2yr","X13_3yr","X14_1yr","X14_2yr","X14_3yr","X15_1yr","X15_2yr","X15_3yr","X17_1yr","X17_2yr","X17_3yr","X18_1yr","X18_2yr","X18_3yr"
"2552",3923,"C_1387",2002,"alive","alive","alive",1.797,1.982,0.065,0.152,0.679,0.077,0.276,1.2825,3.457,2.239,0,0.087,1.475,0.266,0.957,0.325,3.305,1.636,1.33,1.591,1.937,1.895,1.958,0.072,0.093,0.095,0.265,-0.023,0.179,0.577,0.417,0.366,0.325,-0.112,-0.348,0.3,0.32,0.425,1.3888,0.6263,0.4701,3.435,3.005,3.171,2.095,1.69,1.958,0,0,0,0.193,-0.116,0.084,1.498,1.11,1.213,0.226,0.174,0.339,0.874,0.549,0.665,0.315,0.281,0.433,3.17,3.028,2.992
"2553",3924,"C_1387",2003,"alive","alive","alive",1.859,1.85,0.065,0.179,0.582,0.064,0.41,1.0763,3.257,2.216,0,0.114,1.407,0.184,1.02,0.228,3.078,1.797,1.636,1.33,1.982,1.937,1.895,0.065,0.072,0.093,0.152,0.265,-0.023,0.679,0.577,0.417,0.077,0.325,-0.112,0.276,0.3,0.32,1.2825,1.3888,0.6263,3.457,3.435,3.005,2.239,2.095,1.69,0,0,0,0.087,0.193,-0.116,1.475,1.498,1.11,0.266,0.226,0.174,0.957,0.874,0.549,0.325,0.315,0.281,3.305,3.17,3.028
"2554",3925,"C_1387",2004,"alive","alive","alive",2.219,1.796,0.068,0.376,0.666,0.249,0.389,2.6352,3.533,2.471,0,0.308,1.737,0.236,1.217,0.272,3.157,1.859,1.797,1.636,1.85,1.982,1.937,0.065,0.065,0.072,0.179,0.152,0.265,0.582,0.679,0.577,0.064,0.077,0.325,0.41,0.276,0.3,1.0763,1.2825,1.3888,3.257,3.457,3.435,2.216,2.239,2.095,0,0,0,0.114,0.087,0.193,1.407,1.475,1.498,0.184,0.266,0.226,1.02,0.957,0.874,0.228,0.325,0.315,3.078,3.305,3.17
"2555",3926,"C_1387",2005,"alive","alive","alive",2.568,1.777,0.067,0.467,0.8,0.305,0.451,3.528,3.593,2.78,0,0.4,1.816,0.32,1.449,0.342,3.126,2.219,1.859,1.797,1.796,1.85,1.982,0.068,0.065,0.065,0.376,0.179,0.152,0.666,0.582,0.679,0.249,0.064,0.077,0.389,0.41,0.276,2.6352,1.0763,1.2825,3.533,3.257,3.457,2.471,2.216,2.239,0,0,0,0.308,0.114,0.087,1.737,1.407,1.475,0.236,0.184,0.266,1.217,1.02,0.957,0.272,0.228,0.325,3.157,3.078,3.305
"2556",3927,"C_1387",2006,"alive","alive","alive",2.77,1.689,0.078,0.502,0.93,0.322,0.314,3.25,3.465,2.971,0,0.424,1.776,0.28,1.677,0.284,2.963,2.568,2.219,1.859,1.777,1.796,1.85,0.067,0.068,0.065,0.467,0.376,0.179,0.8,0.666,0.582,0.305,0.249,0.064,0.451,0.389,0.41,3.528,2.6352,1.0763,3.593,3.533,3.257,2.78,2.471,2.216,0,0,0,0.4,0.308,0.114,1.816,1.737,1.407,0.32,0.236,0.184,1.449,1.217,1.02,0.342,0.272,0.228,3.126,3.157,3.078
"2557",3928,"C_1387",2007,"alive","alive","alive",3.234,2.603,0.15,0.701,1.29,0.312,0.751,3.3205,4.88,4.137,0,0.551,2.277,0.773,1.921,0.781,4.179,2.77,2.568,2.219,1.689,1.777,1.796,0.078,0.067,0.068,0.502,0.467,0.376,0.93,0.8,0.666,0.322,0.305,0.249,0.314,0.451,0.389,3.25,3.528,2.6352,3.465,3.593,3.533,2.971,2.78,2.471,0,0,0,0.424,0.4,0.308,1.776,1.816,1.737,0.28,0.32,0.236,1.677,1.449,1.217,0.284,0.342,0.272,2.963,3.126,3.157
"2558",3929,"C_1387",2008,"alive","alive","alive",3.84,4.053,0.213,0.694,1.521,0.392,0.455,4.1926,6.669,4.777,0,0.481,2.616,1.064,2.198,1.064,5.975,3.234,2.77,2.568,2.603,1.689,1.777,0.15,0.078,0.067,0.701,0.502,0.467,1.29,0.93,0.8,0.312,0.322,0.305,0.751,0.314,0.451,3.3205,3.25,3.528,4.88,3.465,3.593,4.137,2.971,2.78,0,0,0,0.551,0.424,0.4,2.277,1.776,1.816,0.773,0.28,0.32,1.921,1.677,1.449,0.781,0.284,0.342,4.179,2.963,3.126
"2559",3930,"C_1387",2009,"alive","alive","alive",3.904,3.589,0.206,0.602,1.598,0.32,0.807,2.682,5.989,4.831,0,0.396,2.4,0.921,2.387,0.921,5.387,3.84,3.234,2.77,4.053,2.603,1.689,0.213,0.15,0.078,0.694,0.701,0.502,1.521,1.29,0.93,0.392,0.312,0.322,0.455,0.751,0.314,4.1926,3.3205,3.25,6.669,4.88,3.465,4.777,4.137,2.971,0,0,0,0.481,0.551,0.424,2.616,2.277,1.776,1.064,0.773,0.28,2.198,1.921,1.677,1.064,0.781,0.284,5.975,4.179,2.963
"2560",3931,"C_1387",2010,"alive","alive","alive",4.226,4.132,0.198,0.942,1.272,0.54,1.494,4.0459,7.07,5.165,0,0.744,2.938,0.714,2.905,0.714,6.128,3.904,3.84,3.234,3.589,4.053,2.603,0.206,0.213,0.15,0.602,0.694,0.701,1.598,1.521,1.29,0.32,0.392,0.312,0.807,0.455,0.751,2.682,4.1926,3.3205,5.989,6.669,4.88,4.831,4.777,4.137,0,0,0,0.396,0.481,0.551,2.4,2.616,2.277,0.921,1.064,0.773,2.387,2.198,1.921,0.921,1.064,0.781,5.387,5.975,4.179
"2561",3932,"C_1387",2011,"alive","alive","alive",4.136,3.273,0.188,0.459,1.64,0.228,0.62,3.7825,5.87,5.013,0,0.271,2.597,0.412,3.033,0.412,5.411,4.226,3.904,3.84,4.132,3.589,4.053,0.198,0.206,0.213,0.942,0.602,0.694,1.272,1.598,1.521,0.54,0.32,0.392,1.494,0.807,0.455,4.0459,2.682,4.1926,7.07,5.989,6.669,5.165,4.831,4.777,0,0,0,0.744,0.396,0.481,2.938,2.4,2.616,0.714,0.921,1.064,2.905,2.387,2.198,0.714,0.921,1.064,6.128,5.387,5.975
"2562",3933,"C_1387",2012,"alive","alive","alive",3.963,3.659,0.186,0.302,1.614,0.066,0.624,2.6854,6.203,5.772,0.105,0.116,2.544,0.546,3.048,0.739,5.901,4.136,4.226,3.904,3.273,4.132,3.589,0.188,0.198,0.206,0.459,0.942,0.602,1.64,1.272,1.598,0.228,0.54,0.32,0.62,1.494,0.807,3.7825,4.0459,2.682,5.87,7.07,5.989,5.013,5.165,4.831,0,0,0,0.271,0.744,0.396,2.597,2.938,2.4,0.412,0.714,0.921,3.033,2.905,2.387,0.412,0.714,0.921,5.411,6.128,5.387
"2563",3934,"C_1387",2013,"alive","alive","alive",4.503,3.996,0.179,0.687,1.706,0.396,0.816,4.0779,7.135,6.153,0.027,0.508,3.139,0.678,3.404,0.756,6.448,3.963,4.136,4.226,3.659,3.273,4.132,0.186,0.188,0.198,0.302,0.459,0.942,1.614,1.64,1.272,0.066,0.228,0.54,0.624,0.62,1.494,2.6854,3.7825,4.0459,6.203,5.87,7.07,5.772,5.013,5.165,0.105,0,0,0.116,0.271,0.744,2.544,2.597,2.938,0.546,0.412,0.714,3.048,3.033,2.905,0.739,0.412,0.714,5.901,5.411,6.128
"2564",3940,"C_1388",2002,"alive","alive","alive",0.629,15.009,0.57,-0.663,0,-1.486,0.24,7.599,14.346,6.602,2.471,-1.233,-0.663,2.379,-2.064,6.003,15.009,1.068,1.725,1.615,13.471,7.419,7.315,0.579,0.554,0.563,-0.498,0.442,0.755,0,0,0,-1.152,-0.23,-0.032,0.548,0.176,0.054,7.599,7.301,7.9715,12.973,7.861,8.07,7.542,7.671,8.368,2.674,2.777,2.911,-1.077,-0.112,0.192,-0.498,0.442,0.755,1.63,0.669,0.921,-0.035,1.393,1.656,4.914,3.615,4.05,13.471,7.419,7.315
"2565",3941,"C_1389",2002,"alive","alive","alive",28.9,52.382,5.154,2.457,0.793,11.085,4.319,64.3125,63.198,80.735,5.4,-2.697,10.816,10.242,60.517,15.642,60.741,20.212,31.021,26.121,53.074,49.85,26.738,4.754,6.585,3.094,-2.007,1.164,-1.128,0.874,0.68,1,-4.174,6.054,-0.843,5.516,4.581,4.235,43.3209,47.4798,73.524,59.686,60.368,31.045,70.993,82.782,72.457,6,5.8,0,-6.761,-5.421,-4.222,6.612,10.518,4.307,7.924,8.664,7.513,52.493,61.973,59.455,13.924,16.339,8.841,61.693,59.204,32.173
"2566",3942,"C_1389",2003,"alive","alive","alive",21.839,59.847,7.627,12.229,0.854,3.181,5.05,77.922,81.378,79.213,5,4.602,21.531,8.459,61.178,13.459,69.149,28.9,20.212,31.021,52.382,53.074,49.85,5.154,4.754,6.585,2.457,-2.007,1.164,0.793,0.874,0.68,11.085,-4.174,6.054,4.319,5.516,4.581,64.3125,43.3209,47.4798,63.198,59.686,60.368,80.735,70.993,82.782,5.4,6,5.8,-2.697,-6.761,-5.421,10.816,6.612,10.518,10.242,7.924,8.664,60.517,52.493,61.973,15.642,13.924,16.339,60.741,61.693,59.204
"2567",3943,"C_139",2002,"alive","alive","alive",1.945,1.035,0.049,-0.633,0.807,0.01,0.698,11.7031,2.672,2.101,0,-0.682,1.637,0.894,-19.916,0.988,3.305,1.939,2.035,2.698,0.951,0.908,0.609,0.039,0.023,0.024,-0.194,-0.912,-1.451,0.728,0.904,0.908,-0.214,-0.889,-1.928,0.736,0.349,0.059,14.0624,31.6912,7.3063,2.224,1.73,0.62,2.161,2.154,2.798,0,0,0,-0.233,-0.935,-1.475,1.273,0.822,0.011,0.969,0.848,0.762,-19.926,-19.712,-18.822,1.125,0.938,0.925,2.418,2.642,2.071
"2568",3944,"C_139",2003,"alive","alive","alive",1.385,1.179,0.049,-0.453,0.802,-0.57,0.404,14.2528,2.298,1.554,0,-0.502,1.119,0.938,-20.486,0.979,2.751,1.945,1.939,2.035,1.035,0.951,0.908,0.049,0.039,0.023,-0.633,-0.194,-0.912,0.807,0.728,0.904,0.01,-0.214,-0.889,0.698,0.736,0.349,11.7031,14.0624,31.6912,2.672,2.224,1.73,2.101,2.161,2.154,0,0,0,-0.682,-0.233,-0.935,1.637,1.273,0.822,0.894,0.969,0.848,-19.916,-19.926,-19.712,0.988,1.125,0.938,3.305,2.418,2.642
"2569",3945,"C_139",2004,"alive","alive","alive",11.577,1.07,0.046,-1.244,0.74,8.413,0.26,27.8908,1.631,11.741,0,-1.29,0.561,0.57,-12.073,0.621,2.875,1.385,1.945,1.939,1.179,1.035,0.951,0.049,0.049,0.039,-0.453,-0.633,-0.194,0.802,0.807,0.728,-0.57,0.01,-0.214,0.404,0.698,0.736,14.2528,11.7031,14.0624,2.298,2.672,2.224,1.554,2.101,2.161,0,0,0,-0.502,-0.682,-0.233,1.119,1.637,1.273,0.938,0.894,0.969,-20.486,-19.916,-19.926,0.979,0.988,1.125,2.751,3.305,2.418
"2570",3946,"C_139",2005,"alive","alive","alive",15.402,1.243,0.077,-2.217,1.134,3.322,0.503,134.0472,2.021,15.6,0,-2.294,0.778,0.609,-8.714,0.622,4.238,11.577,1.385,1.945,1.07,1.179,1.035,0.046,0.049,0.049,-1.244,-0.453,-0.633,0.74,0.802,0.807,8.413,-0.57,0.01,0.26,0.404,0.698,27.8908,14.2528,11.7031,1.631,2.298,2.672,11.741,1.554,2.101,0,0,0,-1.29,-0.502,-0.682,0.561,1.119,1.637,0.57,0.938,0.894,-12.073,-20.486,-19.916,0.621,0.979,0.988,2.875,2.751,3.305
"2571",3947,"C_139",2006,"alive","alive","alive",27.848,1.63,0.087,-5.013,1.366,9.249,1.449,98.6953,2.898,28.31,0,-5.1,1.268,2.468,0.399,2.686,7.911,15.402,11.577,1.385,1.243,1.07,1.179,0.077,0.046,0.049,-2.217,-1.244,-0.453,1.134,0.74,0.802,3.322,8.413,-0.57,0.503,0.26,0.404,134.0472,27.8908,14.2528,2.021,1.631,2.298,15.6,11.741,1.554,0,0,0,-2.294,-1.29,-0.502,0.778,0.561,1.119,0.609,0.57,0.938,-8.714,-12.073,-20.486,0.622,0.621,0.979,4.238,2.875,2.751
"2572",3948,"C_139",2007,"alive","alive","alive",23.982,1.483,0.098,-6.286,1.51,-3.348,2.451,147.8474,2.834,24.342,0,-6.384,1.351,1.11,-3.211,1.158,9.12,27.848,15.402,11.577,1.63,1.243,1.07,0.087,0.077,0.046,-5.013,-2.217,-1.244,1.366,1.134,0.74,9.249,3.322,8.413,1.449,0.503,0.26,98.6953,134.0472,27.8908,2.898,2.021,1.631,28.31,15.6,11.741,0,0,0,-5.1,-2.294,-1.29,1.268,0.778,0.561,2.468,0.609,0.57,0.399,-8.714,-12.073,2.686,0.622,0.621,7.911,4.238,2.875
"2573",3949,"C_139",2008,"alive","alive","alive",20.008,1.964,0.12,-4.132,1.425,-2.439,2.587,169.8518,5.143,21.487,0,-4.252,3.179,1.277,-7.43,1.331,9.275,23.982,27.848,15.402,1.483,1.63,1.243,0.098,0.087,0.077,-6.286,-5.013,-2.217,1.51,1.366,1.134,-3.348,9.249,3.322,2.451,1.449,0.503,147.8474,98.6953,134.0472,2.834,2.898,2.021,24.342,28.31,15.6,0,0,0,-6.384,-5.1,-2.294,1.351,1.268,0.778,1.11,2.468,0.609,-3.211,0.399,-8.714,1.158,2.686,0.622,9.12,7.911,4.238
"2574",3950,"C_139",2009,"alive","alive","alive",11.427,1.787,0.135,-6.391,1.794,-11.385,1.746,46.892,3.536,12.857,0,-6.526,1.749,0.843,-16.674,0.916,9.927,20.008,23.982,27.848,1.964,1.483,1.63,0.12,0.098,0.087,-4.132,-6.286,-5.013,1.425,1.51,1.366,-2.439,-3.348,9.249,2.587,2.451,1.449,169.8518,147.8474,98.6953,5.143,2.834,2.898,21.487,24.342,28.31,0,0,0,-4.252,-6.384,-5.1,3.179,1.351,1.268,1.277,1.11,2.468,-7.43,-3.211,0.399,1.331,1.158,2.686,9.275,9.12,7.911
"2575",3951,"C_139",2010,"alive","alive","alive",11.298,1.353,0.148,-7.33,2.238,-7.457,0.441,57.541,1.582,12.702,0,-7.478,0.229,0.511,-24.131,0.584,8.912,11.427,20.008,23.982,1.787,1.964,1.483,0.135,0.12,0.098,-6.391,-4.132,-6.286,1.794,1.425,1.51,-11.385,-2.439,-3.348,1.746,2.587,2.451,46.892,169.8518,147.8474,3.536,5.143,2.834,12.857,21.487,24.342,0,0,0,-6.526,-4.252,-6.384,1.749,3.179,1.351,0.843,1.277,1.11,-16.674,-7.43,-3.211,0.916,1.331,1.158,9.927,9.275,9.12
"2576",3952,"C_139",2011,"alive","alive","alive",20.469,1.565,0.148,-5.201,2.406,-5.286,0.806,86.9097,3.037,21.94,0,-5.349,1.472,0.676,-29.417,0.868,8.238,11.298,11.427,20.008,1.353,1.787,1.964,0.148,0.135,0.12,-7.33,-6.391,-4.132,2.238,1.794,1.425,-7.457,-11.385,-2.439,0.441,1.746,2.587,57.541,46.892,169.8518,1.582,3.536,5.143,12.702,12.857,21.487,0,0,0,-7.478,-6.526,-4.252,0.229,1.749,3.179,0.511,0.843,1.277,-24.131,-16.674,-7.43,0.584,0.916,1.331,8.912,9.927,9.275
"2577",3953,"C_139",2012,"alive","alive","failed",13.949,1.365,0.152,-7.862,2.404,-7.961,0.322,51.4727,2.071,15.366,0,-8.014,0.706,0.742,-37.377,0.869,9.933,20.469,11.298,11.427,1.565,1.353,1.787,0.148,0.148,0.135,-5.201,-7.33,-6.391,2.406,2.238,1.794,-5.286,-7.457,-11.385,0.806,0.441,1.746,86.9097,57.541,46.892,3.037,1.582,3.536,21.94,12.702,12.857,0,0,0,-5.349,-7.478,-6.526,1.472,0.229,1.749,0.676,0.511,0.843,-29.417,-24.131,-16.674,0.868,0.584,0.916,8.238,8.912,9.927
"2578",3954,"C_139",2013,"alive","failed","failed",13.02,2.13,0.132,-8.141,2.446,-8.252,0.924,51.6526,3.674,14.34,0,-8.273,1.544,2.143,-45.629,2.196,11.815,13.949,20.469,11.298,1.365,1.565,1.353,0.152,0.148,0.148,-7.862,-5.201,-7.33,2.404,2.406,2.238,-7.961,-5.286,-7.457,0.322,0.806,0.441,51.4727,86.9097,57.541,2.071,3.037,1.582,15.366,21.94,12.702,0,0,0,-8.014,-5.349,-7.478,0.706,1.472,0.229,0.742,0.676,0.511,-37.377,-29.417,-24.131,0.869,0.868,0.584,9.933,8.238,8.912
"2579",3956,"C_1390",2002,"alive","alive","alive",10.454,12.633,0.722,1.426,2.607,1.572,1.833,5.0765,24.959,26.079,3.685,0.704,12.326,4.408,10.899,9.318,23.533,8.746,9.947,11.326,10.549,9.625,10.64,0.742,0.801,1.282,-0.739,-1.23,1.099,4.042,2.787,2.766,-1.726,-2.261,-0.505,0.453,0.831,2.621,4.0612,5.688,7.2641,24.169,28.608,34.876,25.09,26.937,28.975,4.515,5.309,5.865,-1.481,-2.031,-0.183,13.62,18.983,24.236,5.67,5.09,4.345,7.784,9.509,11.77,11.444,11.588,11.365,24.908,29.838,33.777
"2580",3957,"C_1390",2003,"alive","alive","alive",8.852,12.176,0.693,0.658,3.123,-0.19,1.144,7.4563,24.471,24.453,2.807,-0.035,12.295,3.794,10.706,7.784,23.813,10.454,8.746,9.947,12.633,10.549,9.625,0.722,0.742,0.801,1.426,-0.739,-1.23,2.607,4.042,2.787,1.572,-1.726,-2.261,1.833,0.453,0.831,5.0765,4.0612,5.688,24.959,24.169,28.608,26.079,25.09,26.937,3.685,4.515,5.309,0.704,-1.481,-2.031,12.326,13.62,18.983,4.408,5.67,5.09,10.899,7.784,9.509,9.318,11.444,11.588,23.533,24.908,29.838
"2581",3958,"C_1390",2004,"alive","alive","alive",8.771,12.234,0.673,-0.093,2.94,-0.903,1.477,6.2826,22.647,23.828,1.893,-0.766,10.413,4.967,9.801,8,22.74,8.852,10.454,8.746,12.176,12.633,10.549,0.693,0.722,0.742,0.658,1.426,-0.739,3.123,2.607,4.042,-0.19,1.572,-1.726,1.144,1.833,0.453,7.4563,5.0765,4.0612,24.471,24.959,24.169,24.453,26.079,25.09,2.807,3.685,4.515,-0.035,0.704,-1.481,12.295,12.326,13.62,3.794,4.408,5.67,10.706,10.899,7.784,7.784,9.318,11.444,23.813,23.533,24.908
"2582",3959,"C_1390",2005,"alive","alive","alive",7.513,12.866,0.648,0.602,3.185,-0.198,1.688,10.0829,24.139,21.25,0.939,-0.046,11.273,4.666,9.601,5.605,23.537,8.771,8.852,10.454,12.234,12.176,12.633,0.673,0.693,0.722,-0.093,0.658,1.426,2.94,3.123,2.607,-0.903,-0.19,1.572,1.477,1.144,1.833,6.2826,7.4563,5.0765,22.647,24.471,24.959,23.828,24.453,26.079,1.893,2.807,3.685,-0.766,-0.035,0.704,10.413,12.295,12.326,4.967,3.794,4.408,9.801,10.706,10.899,8,7.784,9.318,22.74,23.813,23.533
"2583",3960,"C_1390",2006,"alive","alive","alive",7.107,8.648,0.622,-2.807,3.29,-3.587,0.8,8.9531,16.144,20.327,4.876,-3.429,7.496,3.369,6.013,8.245,18.951,7.513,8.771,8.852,12.866,12.234,12.176,0.648,0.673,0.693,0.602,-0.093,0.658,3.185,2.94,3.123,-0.198,-0.903,-0.19,1.688,1.477,1.144,10.0829,6.2826,7.4563,24.139,22.647,24.471,21.25,23.828,24.453,0.939,1.893,2.807,-0.046,-0.766,-0.035,11.273,10.413,12.295,4.666,4.967,3.794,9.601,9.801,10.706,5.605,8,7.784,23.537,22.74,23.813
"2584",3961,"C_1390",2007,"alive","alive","alive",5.864,9.519,0.599,-0.361,3.055,-1.311,1.038,6.5565,17.919,18.543,4.671,-0.96,8.4,3.022,4.702,7.693,18.28,7.107,7.513,8.771,8.648,12.866,12.234,0.622,0.648,0.673,-2.807,0.602,-0.093,3.29,3.185,2.94,-3.587,-0.198,-0.903,0.8,1.688,1.477,8.9531,10.0829,6.2826,16.144,24.139,22.647,20.327,21.25,23.828,4.876,0.939,1.893,-3.429,-0.046,-0.766,7.496,11.273,10.413,3.369,4.666,4.967,6.013,9.601,9.801,8.245,5.605,8,18.951,23.537,22.74
"2585",3962,"C_1390",2008,"alive","alive","alive",4.36,8.492,0.556,-0.629,2.754,-1.497,0.571,1.6149,15.912,16.493,4.372,-1.185,7.42,2.667,3.205,7.039,16.541,5.864,7.107,7.513,9.519,8.648,12.866,0.599,0.622,0.648,-0.361,-2.807,0.602,3.055,3.29,3.185,-1.311,-3.587,-0.198,1.038,0.8,1.688,6.5565,8.9531,10.0829,17.919,16.144,24.139,18.543,20.327,21.25,4.671,4.876,0.939,-0.96,-3.429,-0.046,8.4,7.496,11.273,3.022,3.369,4.666,4.702,6.013,9.601,7.693,8.245,5.605,18.28,18.951,23.537
"2586",3963,"C_1390",2009,"alive","alive","alive",3.1,7.687,0.533,-0.386,1.985,-1.198,0.315,2.159,14.179,14.764,4.035,-0.919,6.492,2.378,2.007,6.413,14.565,4.36,5.864,7.107,8.492,9.519,8.648,0.556,0.599,0.622,-0.629,-0.361,-2.807,2.754,3.055,3.29,-1.497,-1.311,-3.587,0.571,1.038,0.8,1.6149,6.5565,8.9531,15.912,17.919,16.144,16.493,18.543,20.327,4.372,4.671,4.876,-1.185,-0.96,-3.429,7.42,8.4,7.496,2.667,3.022,3.369,3.205,4.702,6.013,7.039,7.693,8.245,16.541,18.28,18.951
"2587",3964,"C_1390",2010,"alive","alive","alive",3.204,7.265,0.493,0.134,1.682,-0.495,0.836,2.2016,14.397,14.357,3.704,-0.359,7.132,2.678,1.512,6.382,14.263,3.1,4.36,5.864,7.687,8.492,9.519,0.533,0.556,0.599,-0.386,-0.629,-0.361,1.985,2.754,3.055,-1.198,-1.497,-1.311,0.315,0.571,1.038,2.159,1.6149,6.5565,14.179,15.912,17.919,14.764,16.493,18.543,4.035,4.372,4.671,-0.919,-1.185,-0.96,6.492,7.42,8.4,2.378,2.667,3.022,2.007,3.205,4.702,6.413,7.039,7.693,14.565,16.541,18.28
"2588",3965,"C_1390",2011,"alive","alive","alive",3.176,8.077,0.477,-0.079,2.019,-0.634,0.448,1.8553,15.616,13.877,3.363,-0.556,7.539,3.098,0.878,6.461,15.695,3.204,3.1,4.36,7.265,7.687,8.492,0.493,0.533,0.556,0.134,-0.386,-0.629,1.682,1.985,2.754,-0.495,-1.198,-1.497,0.836,0.315,0.571,2.2016,2.159,1.6149,14.397,14.179,15.912,14.357,14.764,16.493,3.704,4.035,4.372,-0.359,-0.919,-1.185,7.132,6.492,7.42,2.678,2.378,2.667,1.512,2.007,3.205,6.382,6.413,7.039,14.263,14.565,16.541
"2589",3966,"C_1390",2012,"alive","alive","alive",3.338,8.654,0.42,-0.031,1.976,-1.372,0.969,2.9749,16.041,12.796,3.011,-0.451,7.387,3.682,-0.494,6.693,16.072,3.176,3.204,3.1,8.077,7.265,7.687,0.477,0.493,0.533,-0.079,0.134,-0.386,2.019,1.682,1.985,-0.634,-0.495,-1.198,0.448,0.836,0.315,1.8553,2.2016,2.159,15.616,14.397,14.179,13.877,14.357,14.764,3.363,3.704,4.035,-0.556,-0.359,-0.919,7.539,7.132,6.492,3.098,2.678,2.378,0.878,1.512,2.007,6.461,6.382,6.413,15.695,14.263,14.565
"2590",3967,"C_1390",2013,"alive","alive","alive",7.789,10.335,0.135,0.919,3.211,0.644,1.183,7.3146,19.292,8.358,0,0.784,8.957,1.447,0.15,1.447,18.373,3.338,3.176,3.204,8.654,8.077,7.265,0.42,0.477,0.493,-0.031,-0.079,0.134,1.976,2.019,1.682,-1.372,-0.634,-0.495,0.969,0.448,0.836,2.9749,1.8553,2.2016,16.041,15.616,14.397,12.796,13.877,14.357,3.011,3.363,3.704,-0.451,-0.556,-0.359,7.387,7.539,7.132,3.682,3.098,2.678,-0.494,0.878,1.512,6.693,6.461,6.382,16.072,15.695,14.263
"2591",3973,"C_1392",2002,"alive","alive","alive",557.697,1626.628,52.636,99.761,243.949,13.507,201.792,303.71,1829.307,1281.141,318.746,47.125,202.679,356.362,485.476,787.256,1729.546,592.862,610.7,613.851,1519.27,1356.056,1089.297,55.8,50.383,45.582,170.152,98.448,58.247,205.345,218.03,200.382,53.305,98.909,0.24,187.416,243.643,171.931,455.328,232.128,289.044,1804.61,1583.696,1255.304,1235.592,1312.848,1285.326,255.819,312.418,318.017,114.352,48.065,12.665,285.34,227.64,166.007,280.6,318.402,424.716,512.501,525.983,433.723,702.322,772.117,836.07,1634.458,1485.248,1197.057
"2592",3974,"C_1392",2003,"alive","alive","alive",614.836,1730.316,64.203,132.989,276.033,31.842,190.013,353.91,1981.34,1325.691,321.555,68.786,251.024,344.09,519.31,797.66,1848.351,557.697,592.862,610.7,1626.628,1519.27,1356.056,52.636,55.8,50.383,99.761,170.152,98.448,243.949,205.345,218.03,13.507,53.305,98.909,201.792,187.416,243.643,303.71,455.328,232.128,1829.307,1804.61,1583.696,1281.141,1235.592,1312.848,318.746,255.819,312.418,47.125,114.352,48.065,202.679,285.34,227.64,356.362,280.6,318.402,485.476,512.501,525.983,787.256,702.322,772.117,1729.546,1634.458,1485.248
"2593",3975,"C_1392",2004,"alive","alive","alive",743.438,2240.382,64.62,315.874,301.049,168.096,246.129,1252.49,2683.98,1436.694,262.544,251.254,443.598,308.906,691.427,741.874,2368.106,614.836,557.697,592.862,1730.316,1626.628,1519.27,64.203,52.636,55.8,132.989,99.761,170.152,276.033,243.949,205.345,31.842,13.507,53.305,190.013,201.792,187.416,353.91,303.71,455.328,1981.34,1829.307,1804.61,1325.691,1281.141,1235.592,321.555,318.746,255.819,68.786,47.125,114.352,251.024,202.679,285.34,344.09,356.362,280.6,519.31,485.476,512.501,797.66,787.256,702.322,1848.351,1729.546,1634.458
"2594",3976,"C_1392",2005,"alive","alive","alive",1047.21,2164.471,65.106,385.151,331.133,266.662,223.024,1905.371,2688.894,1816.321,201.063,320.045,524.423,419.389,955.035,802.417,2303.743,743.438,614.836,557.697,2240.382,1730.316,1626.628,64.62,64.203,52.636,315.874,132.989,99.761,301.049,276.033,243.949,168.096,31.842,13.507,246.129,190.013,201.792,1252.49,353.91,303.71,2683.98,1981.34,1829.307,1436.694,1325.691,1281.141,262.544,321.555,318.746,251.254,68.786,47.125,443.598,251.024,202.679,308.906,344.09,356.362,691.427,519.31,485.476,741.874,797.66,787.256,2368.106,1848.351,1729.546
"2595",3977,"C_1392",2006,"alive","alive","alive",1196.569,2181.9,71.258,368.253,341.366,258.689,277.048,2225.665,2707.397,1961.433,137.817,296.995,525.497,389.242,1180.472,719.023,2339.144,1047.21,743.438,614.836,2164.471,2240.382,1730.316,65.106,64.62,64.203,385.151,315.874,132.989,331.133,301.049,276.033,266.662,168.096,31.842,223.024,246.129,190.013,1905.371,1252.49,353.91,2688.894,2683.98,1981.34,1816.321,1436.694,1325.691,201.063,262.544,321.555,320.045,251.254,68.786,524.423,443.598,251.024,419.389,308.906,344.09,955.035,691.427,519.31,802.417,741.874,797.66,2303.743,2368.106,1848.351
